Product Code (كود المنتج),Product Name (اسم المنتج),Product Name English,Company (الشركة),% (of Blend) (نسبة الخلط),Description (وصف المنتج),الوصف,Flavor Metrics (المقاييس),Brewing Notes (ملحوظات التحضير),Brewing Notes English
TP-013,قهوة ييرجا موكا,Yirga Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-014,قهوة اثيوبيا,Ethiopia Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-015,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-016,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-017,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-018,قهوة اثيوبيا سيدامو,Ethiopia Sidamo Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-019,قهوة اثيوبيا ييرجا,Ethiopia Yirga Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-020,قهوة كولومبيا,Colombia Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-021,قهوة ييرجا موكا موتو,Yirga Mocha Moto Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-022,قهوة بون بون موكا,Bun Bun Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-023,قهوة ييرجا واريجودا,Yirga Wariguda Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-024,قهوة اثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-025,قهوة ييرجا تشافانشو,Yirga Chafanso Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-026,قهوة ييرجا موكا,Yirga Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-027,قهوة اثيوبيا,Ethiopia Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-028,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-029,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-030,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
