Category,Code,Arabic,English,الأداة,الكود,الاسم التجاري,Product Name,التركيبة,Blend Composition,الوصف التسويقي للنكهة (للعميل),Marketing Description,المقاييس بالعربي,Flavor Metrics,ملاحظات التحضير,Brewing Notes,الاسم التجاري الجديد,الوصف التسويقي (يركز على الصحة والنكهة),كثافة التحميص,Roast Level,التحميص,Roast,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,نقع بارد,CS-014,,Hawaii Albkr,٧٠٪ كوستا ريكي + ٣٠٪ برازيلي,70% Costa Rican + 30% Brazilian,,"Refreshing cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 5 / رائحة 4 / لون 4,Bitterness 2 / Body 4 / Flavor 5 / Aroma 4 / Color 4,نقع 18 ساعة بماء الينابيع,Cold soak 18 hrs.,هاواي البكر,نكهة غنية ومنعشة، مشروب يجمع بين النكهات العشبية المشرقة والناعمة.,,,,,,,,,,
,,,,نقع بارد,CS-015,,Alnsym AlآSywy,٥٠٪ فيتنامي + ٥٠٪ إندونيسي,50% Vietnamese + 50% Indonesian,,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 3 / لون 3,Bitterness 3 / Body 4 / Flavor 4 / Aroma 3 / Color 3,نقع 24 ساعة + ليمون كفيري,"Cold soak 24 hrs; add kaffir lime, lemon.",النسيم الآسيوي,لطاقة مستدامة، مشروب قوي بنكهات عشبية جريئة ولمسة ترابية.,,,,,,,,,,
,,,,نقع بارد,CS-016,,أTls Almtwst,٥٠٪ كولومبي + ٥٠٪ حبشي هراري,50% Colombian + 50% Ethiopian Harrar,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 36 ساعة بنسبة 1:12,Cold soak 36 hrs; ratio 1:12.,أطلس المتوسط,لتركيز ووضوح ذهني، مشروب يجمع بين النكهات العشبية والفاكهية.,,,,,,,,,,
,,,,نقع بارد,CS-017,,Alghaba Alswdaء,٦٠٪ برازيلي + ٤٠٪ أوغندي,60% Brazilian + 40% Ugandan,,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 4 / رائحة 3 / لون 3,Bitterness 2 / Body 4 / Flavor 4 / Aroma 3 / Color 3,نقع 24 ساعة + كرز مجفف,Cold soak 24 hrs; add dried cherries.,الغابة السوداء,للطاقة والقوة، مشروب بنكهات عشبية مع لمسة ترابية خفيفة.,,,,,,,,,,
,,,,نقع بارد,CS-018,,Alharb AlإFryqy,٧٠٪ أوغندي + ٣٠٪ كينيا AAA,70% Ugandan + 30% Kenya AAA,,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 18 ساعة بمياه غازية,Cold soak 18 hrs in sparkling water.,الهارب الإفريقي,لأداء بدني عالي، مشروب قوي بنكهات عشبية جريئة وحمضية لاذعة.,,,,,,,,,,
,,,,نقع بارد,CS-019,,Basyfyk Blynz,٦٠٪ بيرو + ٤٠٪ كوستا ريكي,60% Peru + 40% Costa Rican,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 24 ساعة في إبريق زجاجي,Cold soak 24 hrs in glass pitcher.,باسيفيك بلينز,مضادات أكسدة عالية، مشروب نقي يجمع بين النكهات العشبية المشرقة والناعمة.,,,,,,,,,,
,,,,نقع بارد,CS-020,,Alnda Alsbahy,٥٠٪ هندي مايسور + ٥٠٪ حبشي لقميتي,50% Indian Mysore + 50% Ethiopian Lekemti,,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 4 / Flavor 5 / Aroma 5 / Color 5,نقع 48 ساعة مع عسل طبيعي,"Cold soak 48 hrs; add natural honey, honey.",الندى الصباحي,لحيوية البشرة والشعر، مشروب يجمع بين النكهات العشبية والترابية مع لمسة زهرية.,,,,,,,,,,
,,,,نقع بارد,CS-021,,Origin Hrr (Kwld Brw),١٠٠٪ بن حبشي هراري,100% بن Ethiopian Harrar,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 20 ساعة,Cold soak 20 hrs.,أصل هرر (كولد برو),مضادات أكسدة فائقة، مشروب بنكهة عشبية فاكهية مميزة.,,,,,,,,,,
,,,,نقع بارد,CS-022,,Colombia Alnqy (Kwld Brw),١٠٠٪ بن كولومبي,100% بن Colombian,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 4,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 4,نقع 18 ساعة,Cold soak 18 hrs.,كولومبيا النقي (كولد برو),لتوازن المزاج والطاقة، مشروب نقي بنكهة عشبية كلاسيكية.,,,,,,,,,,
,,,,نقع ساخن,HS-001,,Aljsm Albrazyly,٥٠٪ برازيلي + ٥٠٪ أوغندي,50% Brazilian + 50% Ugandan,,"Bold cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 2 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 6 ساعات عند 85°م,Hot soak 6 hrs at 85°C.,الجسم البرازيلي,للطاقة والقوة، مشروب يجمع بين النكهات العشبية الكلاسيكية والقوية.,,,,,,,,,,
,,,,نقع ساخن,HS-002,,Altkhsys Almtwazn,٥٠٪ برازيلي + ٥٠٪ كينيا AAA,50% Brazilian + 50% Kenya AAA,,"Signature cup.
Flavor profile: medium body.",مرارة 3 / قوام 3 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 3 / Flavor 4 / Aroma 4 / Color 4,نقع 10 ساعات عند 80°م,Hot soak 10 hrs at 80°C.,التخسيس المتوازن,لحرق الدهون، مشروب يجمع بين النكهات العشبية الناعمة والمشرقة.,,,,,,,,,,
,,,,نقع ساخن,HS-003,,Albrazyly Alnaam,١٠٠٪ برازيلي سانتوس,100% Brazilian Santos,,"Signature cup.
Flavor profile: medium-full body.",مرارة 1 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 1 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 8 ساعات + قشر ليمون,"Hot soak 8 hrs; add lemon peel, lemon.",البرازيلي الناعم,للاسترخاء، مشروب بنكهة عشبية كلاسيكية لطيفة جداً.,,,,,,,,,,
,,,,نقع ساخن,HS-004,,Latyny Alastrkhaء,٧٠٪ كولومبي + ٣٠٪ برازيلي,70% Colombian + 30% Brazilian,,"Signature cup.
Flavor profile: berry; medium body.",مرارة 2 / قوام 3 / نكهة 4 / رائحة 4 / لون 4,Bitterness 2 / Body 3 / Flavor 4 / Aroma 4 / Color 4,نقع 4 ساعات عند 75°م,Hot soak 4 hrs at 75°C.,لاتيني الاسترخاء,لتقليل التوتر، مشروب بنكهات عشبية ناعمة ومتوازنة.,,,,,,,,,,
,,,,نقع ساخن,HS-005,,Mktby Alkhfyf,٧٠٪ برازيلي + ٣٠٪ أوغندي,70% Brazilian + 30% Ugandan,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 4 / رائحة 3 / لون 3,Bitterness 2 / Body 3 / Flavor 4 / Aroma 3 / Color 3,نقع 8 ساعات في ترمس,Hot soak 8 hrs in thermos.,مكتبي الخفيف,لتركيز هادئ، مشروب بنكهات عشبية كلاسيكية معتدلة.,,,,,,,,,,
,,,,نقع ساخن,HS-006,,Mnaaa Thlathya,٤٠٪ حبشي + ٣٠٪ بيرو + ٣٠٪ كيني,40% Ethiopian + 30% Peru + 30% Kenyan,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 6 ساعات + زنجبيل طازج,"Hot soak 6 hrs; add fresh ginger, ginger.",مناعة ثلاثية,لدعم المناعة، مشروب بنكهات عشبية متنوعة تجمع بين الفاكهية والنقاء.,,,,,,,,,,
,,,,نقع ساخن,HS-007,,Aqtsad Aljsm,٥٠٪ إندونيسي + ٥٠٪ برازيلي,50% Indonesian + 50% Brazilian,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 3 / رائحة 3 / لون 3,Bitterness 3 / Body 4 / Flavor 3 / Aroma 3 / Color 3,نقع 5 ساعات عند 70°م,Hot soak 5 hrs at 70°C.,اقتصاد الجسم,طاقة اقتصادية، مشروب يجمع بين النكهات العشبية الترابية والناعمة.,,,,,,,,,,
,,,,نقع ساخن,HS-008,,Alhjyn Almtkaml,٣٠٪ برازيلي + ٤٠٪ كيني + ٣٠٪ حبشي,30% Brazilian + 40% Kenyan + 30% Ethiopian,,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 5 / رائحة 4 / لون 4,Bitterness 2 / Body 4 / Flavor 5 / Aroma 4 / Color 4,نقع 8 ساعات + قرفة,Hot soak 8 hrs; add cinnamon.,الهجين المتكامل,مضادات أكسدة وطاقة، مشروب بنكهات عشبية متنوعة تجمع بين النقاء والفاكهية.,,,,,,,,,,
,,,,نقع ساخن,HS-009,,Safana Alihbya,٥٠٪ أوغندي + ٥٠٪ كينيا AAA,50% Ugandan + 50% Kenya AAA,,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 7 ساعات عند 80°م + هيل,Hot soak 7 hrs at 80°C; add cardamom.,سافانا الذهبية,للحيوية والنشاط، مشروب يجمع بين النكهات العشبية القوية والمشرقة.,,,,,,,,,,
,,,,نقع ساخن,HS-010,,أNdyz Alatrya,٦٠٪ كولومبي + ٤٠٪ كوستا ريكي,60% Colombian + 40% Costa Rican,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 4,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 4,نقع 6 ساعات + فانيليا,Hot soak 6 hrs; add vanilla.,أنديز العطرية,لتحسين المزاج، مشروب بنكهات عشبية مشرقة وعطرية.,,,,,,,,,,
,,,,نقع ساخن,HS-011,,Bhr Alkaryby,٧٠٪ برازيلي + ٣٠٪ كوستا ريكي,70% Brazilian + 30% Costa Rican,,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 2 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 5 ساعات عند 75°م + جوزة الطيب,Hot soak 5 hrs at 75°C; add nutmeg.,بحر الكاريبي,للاسترخاء والإنعاش، مشروب يجمع بين النكهات العشبية الناعمة والمشرقة.,,,,,,,,,,
,,,,نقع ساخن,HS-012,,Alghaba Almtyra,٥٠٪ بيرو + ٥٠٪ إندونيسي,50% Peru + 50% Indonesian,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 3,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 3,نقع 8 ساعات + كاكاو ني,Hot soak 8 hrs; add raw cacao.,الغابة المطيرة,مضاد للالتهابات، مشروب يجمع بين النكهات العشبية النقية والترابية.,,,,,,,,,,
,,,,نقع ساخن,HS-013,,Alfydan AlآSywy,٦٠٪ فيتنامي + ٤٠٪ هندي روبيستا,60% Vietnamese + 40% Indian Robusta,,"Bold cup.
Flavor profile: medium-full body.",مرارة 4 / قوام 4 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 4 / Flavor 3 / Aroma 3 / Color 3,نقع 6 ساعات + قرنفل,Hot soak 6 hrs; add clove.,الفيضان الآسيوي,لطاقة عالية، مشروب قوي ومر بنكهة عشبية جريئة.,,,,,,,,,,
,,,,نقع ساخن,HS-014,,Shraء Altwabl,٦٠٪ هندي مايسور + ٤٠٪ يمني,60% Indian Mysore + 40% Yemeni,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 5 / رائحة 5 / لون 5,Bitterness 3 / Body 4 / Flavor 5 / Aroma 5 / Color 5,نقع 9 ساعات عند 85°م + هال,Hot soak 9 hrs at 85°C; add cardamom.,صحراء التوابل,لدعم الهضم، مشروب بنكهات عشبية ترابية وفاكهية معقدة.,,,,,,,,,,
,,,,نقع ساخن,HS-015,,Jbl AlأWlymb,٥٠٪ حبشي هراري + ٥٠٪ كولومبي,50% Ethiopian Harrar + 50% Colombian,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 7 ساعات + عسل,Hot soak 7 hrs; add honey.,جبل الأوليمب,للطاقة والتركيز، مشروب يجمع بين النكهات العشبية الفاكهية والناعمة.,,,,,,,,,,
,,,,نقع ساخن,HS-016,,Wady Alnyl,٦٠٪ حبشي لقميتي + ٤٠٪ أوغندي,60% Ethiopian Lekemti + 40% Ugandan,,"Bold cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 6 ساعات + تمر مجفف,Hot soak 6 hrs; add dried dates.,وادي النيل,غني بمضادات الأكسدة، مشروب يجمع بين النكهات العشبية الفاكهية والقوية.,,,,,,,,,,
,,,,نقع ساخن,HS-017,,Almhyt Alhadئ,٦٠٪ كوستا ريكي + ٤٠٪ بيرو,60% Costa Rican + 40% Peru,,"Signature cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 8 ساعات + زهرات برتقال,Hot soak 8 hrs; add orange blossom.,المحيط الهادئ,لنضارة البشرة، مشروب بنكهات عشبية مشرقة ونقية.,,,,,,,,,,
,,,,نقع ساخن,HS-018,,Alshwl Alkhdraء,٥٠٪ برازيلي + ٥٠٪ كولومبي,50% Brazilian + 50% Colombian,,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 5 ساعات عند 80°م,Hot soak 5 hrs at 80°C.,السهول الخضراء,لطاقة متوازنة، مشروب بنكهات عشبية كلاسيكية متوازنة.,,,,,,,,,,
,,,,نقع ساخن,HS-019,,Alghrwb AlأHmr,٤٠٪ يمني + ٦٠٪ كينيا AAA,40% Yemeni + 60% Kenya AAA,,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 4 / Flavor 5 / Aroma 5 / Color 5,نقع 10 ساعات + قرفة,Hot soak 10 hrs; add cinnamon.,الغروب الأحمر,لصحة القلب، مشروب يجمع بين النكهات العشبية الفاكهية والمشرقة.,,,,,,,,,,
,,,,نقع ساخن,HS-020,,Alnsr AlإFryqy,٧٠٪ كينيا AAA + ٣٠٪ أوغندي,70% Kenya AAA + 30% Ugandan,,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,نقع 6 ساعات + ليمون مجفف,"Hot soak 6 hrs; add dried lemon, lemon.",النسر الإفريقي,لتعزيز الأداء الذهني، مشروب يجمع بين النكهات العشبية المشرقة والقوية.,,,,,,,,,,
,,,,نقع ساخن,HS-021,,Kynya Alnqy (Nqa),١٠٠٪ كينا AAA,100% Kenya AAA,,"Bold cup.
Flavor profile: medium body.",مرارة 2 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 2 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 8 ساعات عند 80°م,Hot soak 8 hrs at 80°C.,كينيا النقي (نقع),لحرق الدهون ومضادات أكسدة، مشروب بنكهة عشبية مشرقة وقوية.,,,,,,,,,,
,,,,نقع ساخن,HS-022,,Costa Rica Alnqy (Nqa),١٠٠٪ كوستا ريكي,100% Costa Rican,,"Signature cup.
Flavor profile: medium body.",مرارة 1 / قوام 3 / نكهة 5 / رائحة 5 / لون 5,Bitterness 1 / Body 3 / Flavor 5 / Aroma 5 / Color 5,نقع 6 ساعات عند 75°م,Hot soak 6 hrs at 75°C.,كوستاريكا النقي (نقع),للإنعاش والتركيز، مشروب بنكهة عشبية مشرقة ونقية جداً.,,,,,,,,,,
,,,,,ESP-01,ذهب روما,Gold Roma,40% برازيلي + 30% كولومبي + 30% روبوستا هندي,40% Brazilian + 30% Colombian + 30% روبوستا Indian,إسبريسو إيطالي كلاسيكي، بكريمة ذهبية غنية ونكهة تجمع بين الكاكاو والمكسرات مع لمسة دافئة من التوابل.,"Signature cup.
Flavor profile: cocoa; full body.",كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 4 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 4 / Intensity 5,,,,,4.0,Medium-Dark,,,,,,,,
,,,,,ESP-02,نوار إنتنسو,Noir إNtnsw,50% برازيلي + 20% يمني + 30% روبوستا فيتنامي,50% Brazilian + 20% Yemeni + 30% روبوستا Vietnamese,إسبريسو قوي وعميق للخبراء، يجمع بين مرارة الكاكاو الداكنة وحلاوة التوت الأسود مع لمسة دخانية كلاسيكية.,"Bold cup.
Flavor profile: cocoa, berry; full body.",كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5,,,,,5.0,Dark,,,,,,,,
,,,,,ESP-03,كريما فيلفيت,Crema Velvet,60% جواتيمالا + 20% بيرو + 20% روبوستا أوغندي,60% Guatemala + 20% Peru + 20% روبوستا Ugandan,شوت إسبريسو ناعم ومخملي، يجمع بين حلاوة الكراميل والفواكه المجففة مع قوام كريمي يذوب في الفم.,"Signature cup.
Flavor profile: caramel; medium-full body.",كريما 4 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-04,نبض أفريقيا,Nbd أFryqya,70% كينيا AAA + 30% حبشي هراري,70% Kenya AAA + 30% Ethiopian Harrar,تجربة أفريقية مشرقة، شوت إسبريسو بحمضية التوت البري المنعشة ورائحة الزهور مع لمسة ليمونية لاذعة.,"Refreshing cup.
Flavor profile: berry, floral; medium body.",كريما 3 / قوام 3 / توازن 5 / مذاق لاحق 4 / كثافة 3,Crema 3 / Body 3 / Balance 5 / Aftertaste 4 / Intensity 3,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-05,حرير الأنديز,Hryr AlأNdyz,40% كولومبي + 40% بيرو + 20% هندي أرابيكا,40% Colombian + 40% Peru + 20% Indian Arabica,إسبريسو ناعم كالحرير، يجمع بين حمضية التفاح الأخضر المنعشة وحلاوة العسل الصافي وقوام متوازن.,"Refreshing cup.
Flavor profile: honey, apple; medium-full body.",كريما 4 / قوام 4 / توازن 5 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 5 / Aftertaste 4 / Intensity 4,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-06,ياقوت الحبشة,Yaqwt Alhbsha,٦٠٪ حبشي لقميتي + ٤٠٪ كوستا ريكي,60% Ethiopian Lekemti + 40% Costa Rican,شوت إسبريسو فاكهي وعصيري، يجمع بين حلاوة الخوخ والشوكولاتة البيضاء مع حمضية مشرقة وممتعة.,"Signature cup.
Flavor profile: chocolate, peach; medium body.",كريما 3 / قوام 3 / توازن 5 / مذاق لاحق 4 / كثافة 3.5,Crema 3 / Body 3 / Balance 5 / Aftertaste 4 / Intensity 3.5,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-07,روح سومطرة,Rwh Swmtra,60% هندي مايسور + 40% روبوستا إندونيسي,60% Indian Mysore + 40% روبوستا Indonesian,رحلة إلى آسيا، إسبريسو غني وعميق يجمع بين رائحة خشب الصندل الفاخرة وحلاوة التمر مع لمسة قرفة دافئة.,"Luxurious cup.
Flavor profile: cinnamon, date; full body.",كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 5 / كثافة 5,Crema 5 / Body 5 / Balance 4 / Aftertaste 5 / Intensity 5,,,,,4.0,Medium-Dark,,,,,,,,
,,,,,ESP-08,توازن جنيف,Twazn Jnyf,70% جواتيمالا + 30% روبوستا برازيلي,70% Guatemala + 30% روبوستا Brazilian,إسبريسو متوازن وأنيق، يجمع بين نكهة جوز البقان المحمص وحلاوة الكرز الأسود مع نهاية نظيفة ومنعشة.,"Refreshing cup.
Flavor profile: pecan; medium-full body.",كريما 4 / قوام 4 / توازن 5 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 5 / Aftertaste 4 / Intensity 4,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-09,عطر زنجبار,Atr Znjbar,٧٥٪ حبشي هراري + ٢٥٪ كينيا AAA,75% Ethiopian Harrar + 25% Kenya AAA,عطر فاخر في فنجان، إسبريسو يجمع بين رائحة الياسمين وحلاوة المانجو مع لمسة زنجبيل منعشة.,"Luxurious cup.
Flavor profile: jasmine; medium body.",كريما 3 / قوام 3 / توازن 5.5 / مذاق لاحق 4 / كثافة 3,Crema 3 / Body 3 / Balance 5.5 / Aftertaste 4 / Intensity 3,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-10,التحميصة الذهبية,Althmysa Alihbya,٤٥٪ برازيلي + ٣٠٪ كولومبي + ٢٥٪ روبوستا فيتنامي,45% Brazilian + 30% Colombian + 25% روبوستا Vietnamese,إسبريسو متوازن وكلاسيكي، يجمع بين نكهة الكاجو والخبز المحمص مع حلاوة خفيفة وكريمة ذهبية.,"Signature cup.
Flavor profile: medium-full body.",كريما 4.5 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4.5,Crema 4.5 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4.5,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-11,لندن بلند,Lndn Blnd,٣٥٪ هندي أرابيكا + ٤٥٪ برازيلي + ٢٠٪ روبوستا أوغندي,35% Indian Arabica + 45% Brazilian + 20% روبوستا Ugandan,مزيج لندني أنيق، يجمع بين حلاوة شوكولاتة الحليب والكراميل المملح في شوت إسبريسو غني.,"Signature cup.
Flavor profile: caramel, chocolate; medium-full body.",كريما 4 / قوام 4.5 / توازن 4 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4.5 / Balance 4 / Aftertaste 4 / Intensity 4,,,,,4.0,Medium-Dark,,,,,,,,
,,,,,ESP-12,قافلة الملوك,Qafla Almlwk,٤٥٪ يمني + ٣٥٪ بيرو + ٢٠٪ روبوستا أوغندي,45% Yemeni + 35% Peru + 20% روبوستا Ugandan,رحلة مع قافلة الملوك، إسبريسو فاخر يجمع بين حلاوة التمر والتين المجفف مع لمسة دافئة من العنبر.,"Luxurious cup.
Flavor profile: date; medium-full body.",كريما 4 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4.5,Crema 4 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4.5,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-13,بركان حمضي,Brkan Hmdy,٥٥٪ كوستا ريكي + ٢٥٪ كيني + ٢٠٪ حبشي,55% Costa Rican + 25% Kenyan + 20% Ethiopian,انفجار من النكهات، إسبريسو بحمضية البرتقال الأحمر والتوت مع نهاية مقرمشة من اللوز المحمص.,"Signature cup.
Flavor profile: berry; medium body.",كريما 3 / قوام 3 / توازن 5.2 / مذاق لاحق 4 / كثافة 3,Crema 3 / Body 3 / Balance 5.2 / Aftertaste 4 / Intensity 3,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-14,الختم الأسود,Alkhtm AlأSwd,٤٥٪ كولومبي + ٢٥٪ برازيلي + ٣٠٪ روبوستا هندي,45% Colombian + 25% Brazilian + 30% روبوستا Indian,إسبريسو قوي وجريء، يجمع بين النكهة الدخانية الكلاسيكية وحلاوة الكرز الأسود مع لمسة قرنفل دافئة.,"Bold cup.
Flavor profile: medium-full body.",كريما 5 / قوام 4.5 / توازن 4.5 / مذاق لاحق 4 / كثافة 5,Crema 5 / Body 4.5 / Balance 4.5 / Aftertaste 4 / Intensity 5,,,,,4.0,Medium-Dark,,,,,,,,
,,,,,ESP-15,توت وكراميل,Twt Wkramyl,٦٥٪ برازيلي + ٢٠٪ بيرو + ١٥٪ كيني,65% Brazilian + 20% Peru + 15% Kenyan,مزيج ممتع، يجمع بين حلاوة الكراميل ونكهة المكسرات مع حمضية توت العليق المنعشة.,"Refreshing cup.
Flavor profile: caramel, berry; medium-full body.",كريما 4 / قوام 4 / توازن 3.5 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 3.5 / Aftertaste 4 / Intensity 4,,,,,3.0,Medium,,,,,,,,
,,,,,ESP-16,أصل هرر,Origin Hrr,100% حبشي هراري,100% Ethiopian Harrar,إسبريسو إثيوبي أصيل، يجمع بين حلاوة البرقوق ونكهات الأعشاب العطرية ورائحة زهور البرتقال.,"Signature cup.
Flavor profile: floral; medium body.",كريما 2 / قوام 3 / توازن 5 / مذاق لاحق 4 / كثافة 3,Crema 2 / Body 3 / Balance 5 / Aftertaste 4 / Intensity 3,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-17,كينيا AA+,Kynya Aa+,70% كينيا AAA + 30% حبشي لقمتي,70% Kenya AAA + 30% Ethiopian لقمتي,تجربة كينية جريئة، تتميز بحمضية الفواكه اللاذعة ونكهة العنب الأسود مع لمسة حمضية مشرقة.,"Signature cup.
Flavor profile: medium body.",كريما 2 / قوام 3 / توازن 5 / مذاق لاحق 4 / كثافة 3,Crema 2 / Body 3 / Balance 5 / Aftertaste 4 / Intensity 3,,,,,2.0,Light-Medium,,,,,,,,
,,,,,ESP-18,كريما برازيليا,Crema Brazylya,٧٥٪ برازيلي + ٢٥٪ روبوستا برازيلي,75% Brazilian + 25% روبوستا Brazilian,إسبريسو برازيلي غني بكريمة كثيفة، يجمع بين نكهة اللوز والكراميل وقوام دسم وممتلئ.,"Signature cup.
Flavor profile: caramel; full body.",كريما 5 / قوام 5 / توازن 4 / مذاق لاحق 4 / كثافة 5.5,Crema 5 / Body 5 / Balance 4 / Aftertaste 4 / Intensity 5.5,,,,,4.0,Medium-Dark,,,,,,,,
,,,,,ESP-19,كنز اليمن,Knz Alymn,60% يمني خولاني + 40% هندي مايسور,60% Yemeni Khawlani + 40% Indian Mysore,كنز من النكهات، إسبريسو يجمع بين حلاوة التمر والكمثرى المجففة مع لمسة ترابية أصيلة.,"Signature cup.
Flavor profile: date; medium-full body.",كريما 4 / قوام 4 / توازن 4 / مذاق لاحق 4 / كثافة 4,Crema 4 / Body 4 / Balance 4 / Aftertaste 4 / Intensity 4,,,,,4.0,Medium-Dark,,,,,,,,
